コード,年度,売上高,営業利益,経常利益,純利益,ROE,ROA,企業名,市場区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1301,2025/3/25,303000000000 ,11100000000 ,10900000000 ,6740000000 ,10.13,3.7,極洋,プライム（内国株式）,50,水産・農林業,1,食品,,
130A,2025/12/24,195000000 ,-210000000 ,-230000000 ,-240000000 ,-,-,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,グロース（内国株式）,3250,医薬品,5,医薬品,,
1332,2025/3/25,886000000000 ,31800000000 ,35300000000 ,25400000000 ,9.16,4,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,,
1333,2025/3/25,1080000000000 ,30400000000 ,32300000000 ,23300000000 ,10.13,3.42,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品,,
135A,2025/2/25,2140000000 ,595000000 ,595000000 ,425000000 ,29.89,22.69,ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
1375,2025/3/25,53100000000 ,2420000000 ,-,1500000000 ,12.15,3.97,ユキグニファクトリー,プライム（内国株式）,50,水産・農林業,1,食品,,
1376,2025/5/25,64500000000 ,1510000000 ,1670000000 ,1200000000 ,4.8,2.43,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,,
1377,2025/5/25,92900000000 ,12300000000 ,12300000000 ,9710000000 ,6.02,5.08,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,,
1379,2025/3/25,83100000000 ,6630000000 ,6950000000 ,4440000000 ,7.82,4.13,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,,
137A,2025/5/25,1300000000 ,279000000 ,281000000 ,209000000 ,23.56,19.77,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
1380,2025/3/25,7960000000 ,-3000000 ,51000000 ,28185000 ,1.29,0.4,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,,
1381,2025/6/24,25800000000 ,1570000000 ,1780000000 ,1240000000 ,5.98,5.07,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,,
1382,2025/6/24,2520000000 ,32703000 ,38094000 ,20012000 ,2.6,1.78,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,,
1383,2025/10/24,7090000000 ,22459000 ,-16000000 ,39936000 ,1.93,0.7,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,,
1384,2025/3/25,19400000000 ,1930000000 ,2000000000 ,2180000000 ,15.41,11.35,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,,
138A,2025/11/24,2570000000 ,217000000 ,191000000 ,100000000 ,8.04,4.17,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,,
1401,2025/5/25,4710000000 ,626000000 ,672000000 ,472000000 ,12.77,9.68,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材,,
1407,2025/8/24,50400000000 ,10600000000 ,9960000000 ,6760000000 ,20.33,5.37,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1414,2025/6/24,85400000000 ,19700000000 ,20400000000 ,14300000000 ,13.89,11,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,,
1417,2025/3/25,579000000000 ,28000000000 ,27500000000 ,17200000000 ,6.57,3.19,ミライト・ワン,プライム（内国株式）,2050,建設業,3,建設・資材,,
1418,2025/2/25,16900000000 ,876000000 ,875000000 ,705000000 ,16.73,7.47,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1419,2025/5/25,201000000000 ,4110000000 ,3790000000 ,1480000000 ,4.32,1.6,タマホーム,プライム（内国株式）,2050,建設業,3,建設・資材,,
141A,2025/6/24,718000000000 ,19200000000 ,19800000000 ,11400000000 ,9.89,4.03,トライアルホールディングス,グロース（内国株式）,6100,小売業,14,小売,,
1420,2025/3/25,45500000000 ,956000000 ,1170000000 ,673000000 ,4.39,1.33,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1429,2025/12/24,30300000000 ,2580000000 ,2600000000 ,1840000000 ,17.44,7.64,日本アクア,プライム（内国株式）,2050,建設業,3,建設・資材,,
142A,2025/3/25,2400000000 ,62000000 ,58000000 ,-180000000 ,-,-,ジンジブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
1430,2025/5/25,43200000000 ,2580000000 ,2480000000 ,1670000000 ,17.11,6.71,ファーストコーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1431,2025/6/24,15400000000 ,496000000 ,598000000 ,388000000 ,8.48,3.3,Ｌｉｂ Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材,,
1433,2025/1/25,10900000000 ,374000000 ,592000000 ,410000000 ,8.46,3.71,ベステラ,プライム（内国株式）,2050,建設業,3,建設・資材,,
1434,2025/8/24,14800000000 ,1140000000 ,1210000000 ,1010000000 ,15.26,5.71,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1435,2025/12/24,13200000000 ,1040000000 ,1020000000 ,913000000 ,9.81,6.9,ｒｏｂｏｔ ｈｏｍｅ,スタンダード（内国株式）,8050,不動産業,17,不動産,,
1436,2025/4/25,11600000000 ,544000000 ,408000000 ,276000000 ,5.2,2.03,グリーンエナジー＆カンパニー,グロース（内国株式）,2050,建設業,3,建設・資材,,
1438,2025/9/24,5200000000 ,447000000 ,456000000 ,340000000 ,8.91,6.43,岐阜造園,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
143A,2025/3/25,1390000000 ,245000000 ,232000000 ,178000000 ,14.78,8.07,イシン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
1443,2025/3/25,4910000000 ,623000000 ,770000000 ,492000000 ,4.51,3.04,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1444,2025/7/24,4680000000 ,56392000 ,63465000 ,25154000 ,1.68,0.91,ニッソウ,グロース（内国株式）,2050,建設業,3,建設・資材,,
1446,2025/9/24,13200000000 ,359000000 ,350000000 ,138000000 ,4.93,2.25,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1447,2025/3/25,28900000000 ,333000000 ,142000000 ,-130000000 ,-,-,ＳＡＡＦホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材,,
1450,2025/3/25,12300000000 ,2330000000 ,2340000000 ,1580000000 ,19.17,13.85,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
145A,2025/12/24,1590000000 ,47256000 ,18653000 ,13054000 ,0.76,0.48,Ｌ ｉｓ Ｂ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
146A,2025/12/24,21000000000 ,3890000000 ,3520000000 ,2240000000 ,18.5,4.29,コロンビア・ワークス,スタンダード（内国株式）,8050,不動産業,17,不動産,,
147A,2025/3/25,8990000000 ,656000000 ,619000000 ,352000000 ,3.5,2.63,ソラコム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
148A,2025/12/24,2370000000 ,183000000 ,155000000 ,131000000 ,16.85,5.39,ハッチ・ワーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
1491,2025/3/25,162000000000 ,1420000000 ,1240000000 ,1220000000 ,14.89,7.38,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,,
149A,2025/12/24,1230000000 ,78065000 ,48758000 ,16073000 ,1.64,1.31,シンカ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
150A,2025/3/25,3970000000 ,176000000 ,185000000 ,144000000 ,7.07,4.83,ＪＳＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
1514,2025/3/25,10300000000 ,48000000 ,4710000000 ,4200000000 ,14.97,14.44,住石ホールディングス,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源,,
1515,2025/3/25,197000000000 ,10300000000 ,11400000000 ,9020000000 ,6.37,3.76,日鉄鉱業,プライム（内国株式）,1050,鉱業,2,エネルギー資源,,
1518,2025/3/25,60600000000 ,7620000000 ,8450000000 ,8650000000 ,13.23,7.35,三井松島ホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,,
151A,2025/6/24,12400000000 ,542000000 ,547000000 ,321000000 ,16.94,7.44,ダイブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
153A,2025/12/24,1230000000 ,413000000 ,388000000 ,276000000 ,21,13.65,カウリス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
155A,2025/12/24,5850000000 ,413000000 ,397000000 ,273000000 ,15.59,9.7,情報戦略テクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
156A,2025/8/24,5280000000 ,810000000 ,764000000 ,710000000 ,35.06,21.77,マテリアルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
157A,2025/6/24,1960000000 ,231000000 ,231000000 ,156000000 ,10.61,8.44,グリーンモンスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
1605,2025/12/24,2270000000000 ,1270000000000 ,-,427000000000 ,8.86,5.79,ＩＮＰＥＸ,プライム（内国株式）,1050,鉱業,2,エネルギー資源,,
160A,2025/3/25,17900000000 ,1310000000 ,1350000000 ,956000000 ,22.96,4.47,アズパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
165A,2025/3/25,11400000000 ,2070000000 ,2070000000 ,1490000000 ,22.46,13.84,ＳＢＩレオスひふみ,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,,
1662,2025/3/25,389000000000 ,62000000000 ,64200000000 ,81200000000 ,15.38,11.91,石油資源開発,プライム（内国株式）,1050,鉱業,2,エネルギー資源,,
1663,2025/12/24,92400000000 ,8820000000 ,9830000000 ,6170000000 ,6.4,5.16,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1050,鉱業,2,エネルギー資源,,
166A,2025/9/24,47500000000 ,4070000000 ,3560000000 ,2220000000 ,10.41,3.73,タスキホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,,
167A,2025/3/25,360000000000 ,8540000000 ,7130000000 ,9390000000 ,7.14,4.07,リョーサン菱洋ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,,
168A,2025/1/25,3610000000 ,272000000 ,244000000 ,165000000 ,13.7,4.53,イタミアート,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,,
1711,2025/3/25,4040000000 ,-14000000 ,-97000000 ,-150000000 ,-,-,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1712,2025/2/25,19900000000 ,2250000000 ,2260000000 ,1230000000 ,7.05,4.25,ダイセキ環境ソリューション,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1716,2025/6/24,20900000000 ,2460000000 ,2830000000 ,1970000000 ,10.86,9.03,第一カッター興業,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1717,2025/3/25,5720000000 ,1230000000 ,1230000000 ,910000000 ,16.32,11.34,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,,
1718,2025/12/24,27300000000 ,1130000000 ,1160000000 ,658000000 ,4.18,2.02,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1719,2025/3/25,425000000000 ,35200000000 ,34100000000 ,26400000000 ,15.45,7.11,安藤・間,プライム（内国株式）,2050,建設業,3,建設・資材,,
1720,2025/3/25,293000000000 ,8840000000 ,9700000000 ,6630000000 ,6.52,2.42,東急建設,プライム（内国株式）,2050,建設業,3,建設・資材,,
1721,2025/3/25,615000000000 ,46000000000 ,46700000000 ,30100000000 ,8.04,5.57,コムシスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,,
1723,2025/3/25,43100000000 ,9120000000 ,9310000000 ,6410000000 ,16.24,12.13,日本電技,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1724,2025/12/24,11700000000 ,653000000 ,741000000 ,547000000 ,8.9,4.82,シンクレイヤ,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1726,2025/3/25,40800000000 ,1950000000 ,1880000000 ,1270000000 ,8.47,3.02,ビーアールホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,,
1736,2025/3/25,31400000000 ,4020000000 ,4220000000 ,2870000000 ,12.84,8.29,オーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
173A,2025/3/25,4710000000 ,791000000 ,828000000 ,618000000 ,22.67,10.07,ハンモック,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
1743,2025/9/24,12100000000 ,531000000 ,552000000 ,593000000 ,6.62,3.96,コーアツ工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1757,2025/3/24,1580000000 ,-1500000000 ,-1500000000 ,-1500000000 ,-,-,創建エース,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
1758,2025/1/25,13500000000 ,170000000 ,245000000 ,230000000 ,2.6,1.99,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
175A,2025/12/24,513000000 ,-230000000 ,-220000000 ,-220000000 ,-,-,Ｗｉｌｌ Ｓｍａｒｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,,
1762,2025/3/25,347000000000 ,11500000000 ,10600000000 ,6450000000 ,4.69,2.39,高松コンストラクショングループ,プライム（内国株式）,2050,建設業,3,建設・資材,,
1764,2025/6/24,20500000000 ,427000000 ,398000000 ,175000000 ,3.63,1.13,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,,
