コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,Mar-25,3.02681E+11,11079000000,10857000000,6740000000,567.46,10.13,3.7
130A,Dec-24,194643000,-212851000,-233562000,-236442000,-37.11,-,-
1332,Mar-25,8.86126E+11,31779000000,35301000000,25381000000,81.66,9.16,4
1333,Mar-25,1.07863E+12,30381000000,32254000000,23264000000,461.88,10.13,3.42
135A,Feb-25,2144641000,594987000,595437000,425072000,42.04,29.89,22.69
1375,Mar-25,53139000000,2419000000,-,1502000000,37.65,12.15,3.97
1376,May-25,64508000000,1511000000,1666000000,1200256000,107.01,4.8,2.43
1377,May-25,92920000000,12257000000,12311000000,9711000000,222.57,6.02,5.08
1379,Mar-25,83104000000,6628000000,6953000000,4441000000,140.62,7.82,4.13
137A,May-25,1301000000,279000000,281000000,209000000,71.33,23.56,19.77
1380,Mar-25,7957000000,-3000000,51000000,28185000,6.76,1.29,0.4
1381,Jun-24,25836000000,1570000000,1780000000,1239000000,220.63,5.98,5.07
1382,Jun-24,2519019000,32703000,38094000,20012000,26.27,2.6,1.78
1383,Oct-24,7094887000,22459000,-16125000,39936000,25,1.93,0.7
1384,Mar-25,19397000000,1925000000,2001000000,2181000000,257.83,15.41,11.35
138A,Nov-24,2566848000,217082000,191253000,100327000,109.64,8.04,4.17
1400,Dec-23,2659008000,-8765000,38731000,107199000,8.24,4.26,3.37
1401,May-25,4713000000,626000000,672000000,472000000,64.92,12.77,9.68
1407,Aug-24,50390000000,10597000000,9956000000,6757000000,167.43,20.33,5.37
1414,Jun-24,85419000000,19666000000,20436000000,14321000000,273.72,13.89,11
1417,Mar-25,5.78599E+11,27985000000,27470000000,17179000000,189.4,6.57,3.19
1418,Feb-25,16940669000,875643000,875135000,705077000,45.43,16.73,7.47
1419,May-25,2.00817E+11,4113000000,3789000000,1478000000,50.99,4.32,1.6
141A,Jun-24,7.17948E+11,19161000000,19789000000,11439000000,109.76,9.89,4.03
1420,Mar-25,45518000000,956000000,1167000000,673000000,60.2,4.39,1.33
1429,Dec-24,30265345000,2575689000,2604134000,1839630000,58.56,17.44,7.64
142A,Mar-25,2400000000,62000000,58000000,-184000000,-63.54,-,-
1430,May-25,43194000000,2579000000,2478000000,1669537000,139.74,17.11,6.71
1431,Jun-24,15435172000,495802000,598350000,387574000,17.22,8.48,3.3
1433,Jan-25,10897474000,373633000,592069000,409806000,46.25,8.46,3.71
1434,Aug-24,14804607000,1143651000,1213276000,1012359000,146.74,15.26,5.71
1435,Dec-24,13157735000,1043974000,1018066000,912829000,10.16,9.81,6.9
1436,Apr-25,11616630000,543537000,408098000,275507000,67.23,5.2,2.03
1438,Sep-24,5198677000,447218000,455947000,340464000,105.84,8.91,6.43
1439,Dec-24,8082000000,340000000,327000000,202000000,146.51,8.03,3.67
143A,Mar-25,1393000000,245000000,232000000,177571000,92.89,14.78,8.07
1443,Mar-25,4906000000,623000000,770000000,491949000,30.3,4.51,3.04
1444,Jul-24,4678961000,56392000,63465000,25154000,23.12,1.68,0.91
1446,Sep-24,13224257000,359202000,350393000,137956000,14.96,4.93,2.25
1447,Mar-25,28855000000,333000000,142000000,-129176000,-5.28,-,-
1449,Dec-24,1113684000,-64477000,-61916000,-7896000,-3.71,-,-
1450,Mar-25,12286000000,2328000000,2341000000,1576000000,181.17,19.17,13.85
1451,Mar-24,10062575000,574626000,532281000,355661000,89.17,5.56,2.37
145A,Dec-24,1594038000,47256000,18653000,13054000,2.67,0.76,0.48
146A,Dec-24,20981000000,3892000000,3519000000,2238000000,691.9,18.5,4.29
147A,Mar-25,8993000000,656000000,619000000,352000000,7.82,3.5,2.63
148A,Dec-24,2367523000,183252000,155063000,130952000,72.7,16.85,5.39
1491,Mar-25,1.62345E+11,1417000000,1238000000,1218720000,4.23,14.89,7.38
149A,Dec-24,1232218000,78065000,48758000,16073000,5.27,1.64,1.31
150A,Mar-25,3967006000,176278000,185154000,144153000,25.67,7.07,4.83
1514,Mar-25,10264000000,48000000,4711000000,4195000000,76.76,14.97,14.44
1515,Mar-25,1.96766E+11,10257000000,11437000000,9019000000,546.7,6.37,3.76
1518,Mar-25,60574000000,7615000000,8448000000,8645000000,750.07,13.23,7.35
151A,Jun-24,12363389000,542316000,546588000,320998000,42.86,16.94,7.44
153A,Dec-24,1225271000,412666000,388328000,276298000,44.6,21,13.65
155A,Dec-24,5847966000,413118000,396660000,273173000,27.73,15.59,9.7
156A,Aug-24,5281603000,810000000,763988000,709632000,73.1,35.06,21.77
157A,Jun-24,1957473000,231029000,231039000,156190000,59.33,10.61,8.44
1605,Dec-24,2.26584E+12,1.27179E+12,-,4.27344E+11,345.31,8.86,5.79
160A,Mar-25,17917000000,1305000000,1350000000,956000000,269.56,22.96,4.47
165A,Mar-25,11424106000,2070093000,2069728000,1485925000,14.4,22.46,13.84
1662,Mar-25,3.89082E+11,62012000000,64221000000,81153000000,314.91,15.38,11.91
1663,Dec-24,92421000000,8820000000,9830000000,6167000000,231.37,6.4,5.16
166A,Sep-24,47455431000,4065284000,3560423000,2217276000,53.39,10.41,3.73
167A,Mar-25,3.59811E+11,8542000000,7133000000,9387000000,234.36,7.14,4.07
168A,Jan-25,3605561000,271569000,244397000,165042000,118.47,13.7,4.53
1711,Mar-25,4035000000,-14000000,-97000000,-151714000,-15.28,-,-
1712,Feb-25,19944000000,2253000000,2256000000,1234000000,73.51,7.05,4.25
1716,Jun-24,20918336000,2455559000,2829176000,1973240000,174.38,10.86,9.03
1717,Mar-25,5716000000,1226000000,1230000000,910000000,78.11,16.32,11.34
1718,Dec-24,27292198000,1134578000,1155032000,658231000,602.24,4.18,2.02
1719,Mar-25,4.2516E+11,35243000000,34053000000,26444000000,168.75,15.45,7.11
1720,Mar-25,2.93139E+11,8839000000,9701000000,6631000000,62.72,6.52,2.42
1721,Mar-25,6.14631E+11,45998000000,46650000000,30076000000,253.54,8.04,5.57
1723,Mar-25,43061000000,9120000000,9307000000,6414000000,402.81,16.24,12.13
1724,Dec-24,11711000000,653000000,741000000,547000000,117.64,8.9,4.82
